nombre;id;detalle_url;latitud;longitud;localidad;region;precio;superficie_construida;superficie_til;superficie_solar;habitaciones;baos;antigedad;conservacin;referencia;armarios_empotrados;carpintera_interior;tipo_suelo;carpintera_exterior;chimenea;cocina_equipada;comedor;lavadero;puerta_blindada;sistema_de_seguridad;terraza;jardn;orientacin;urbanizado;calle_alumbrada;calle_asfaltada;se_aceptan_mascotas;tipo_de_casa;garaje;piscina;gastos_de_comunidad;agua;aire_acondicionado;calefaccin;trastero;amueblado;vidrios_dobles;luz;telfono;adaptado_a_personas_con_movilidad_reducida;gas;no_se_aceptan_mascotas;ascensor;planta;exterior;balcn;soleado;portero_automtico;interior;fecha
Piso en Mascarat;1716477472,51654;https://www.pisos.com/comprar/piso-mascarat-1716477472_516543/;38,63071097;-0,005072957;Altea;Alicante;388.000 €;150 m²;83 m²;;2;2.0;;En buen estado;002559_V;2;TRUE;Parquet;Aluminio;;;;;TRUE;;TRUE;Comunitario;Sureste;;;;;;;Comunitaria;;;Frío y calor;;TRUE;TRUE;TRUE;;TRUE;True;TRUE;True;TRUE;2ª;TRUE;;TRUE;TRUE;;Desconocida_Revisada
Piso en Moraira Urbanizaciones;1743850739,1093;https://www.pisos.com/comprar/piso-moraira_benimeit_la_sabatera-1743850739_109300/;38,726682488;0,108177309;Moraira;Alicante;2.985.000 €;515 m²;;;6;7.0;;;VMR0114;;;;;TRUE;TRUE;;TRUE;TRUE;;TRUE;TRUE;Sur;;;;;;TRUE;Private;;;Yes;Radiating floor;TRUE;;;;;;;;TRUE;;;;;;;26/08/2025
"Casa adosada en Escandin&#xE0;via-El Captivador";1757656641,1089;https://www.pisos.com/comprar/casa_adosada-escandinavia_el_captivador-1757656641_108900/;38,586646411;-0,115618675;"L&#x27;alf&#xE0;s del Pi";Alicante;750.000 €;463 m²;371 m²;;4;4.0;;;1147;;;;;;TRUE;;;;;TRUE;;;;;;;Adosada;;Comunitaria;;TRUE;;;;;;;;;;;;;;;;;;26/02/2024
Apartamento en Torre de la Horadada;1763966200,1085;https://www.pisos.com/comprar/apartamento-pilar_de_la_horadada_torre_de_la_horadada-1763966200_108500/;37,871150165;-0,758002569;Pilar de la Horadada;Alicante;219.900 €;90 m²;;;3;2.0;;;IW569;;;;;;;;;TRUE;;Acristalada;;;;;;;;;Comunitaria;;;TRUE;;;;;;;;;;;;;;;;;Desconocida_Revisada
Chalet en Campoamor;2524323600,1067;https://www.pisos.com/comprar/chalet-dehesa_de_campoamor_aguamarina03189-2524323600_106700/;37,901613153;-0,754273393;Orihuela;Alicante;1.175.000 €;197 m²;;500 m²;4;4.0;;;N00077;;;;;;;;;TRUE;;;TRUE;;;;;;;;TRUE;;;;;;;TRUE;;;;;;;;;;;;;23/02/2026
"Apartamento en Almorad&#xED;";2540484595,1067;https://www.pisos.com/comprar/apartamento-almoradi_centro_urbano-2540484595_106700/;38,116346173;-0,790201153;"Almorad&#xED;";Alicante;85.900 €;70 m²;;;2;2.0;;En buen estado;06832;;;;;;;;;;;;;;;;;;;;TRUE;;;;;;;;;;;;;TRUE;;;;;;;24/02/2026
Chalet en Calpe Urbanizaciones;2555422837,1093;https://www.pisos.com/comprar/chalet-la_cometa_carrio_park-2555422837_109300/;38,671230579;0,069519551;Calpe Calp;Alicante;1.985.000 €;295 m²;;823 m²;3;5.0;;;VCA0508;;;;;;TRUE;;;;;TRUE;TRUE;Sur;;;;;;TRUE;Private;;;Yes;Yes;;;;;;;;;;;;;;;;Desconocida_Revisada
Chalet en Pau 26;2559112494,1005;https://www.pisos.com/comprar/chalet-las_filipinas_villamartin_canal_norte03189-2559112494_100500/;37,953286149;-0,748230228;Orihuela;Alicante;399.900 €;162 m²;134 m²;200 m²;3;2.0;Menos de 5 años;;SDP00738IN/3696;1;;;;;;TRUE;;;TRUE;;;;;;;;;;TRUE;;;TRUE;;;TRUE;;;;;;;;;;;;;;20/01/2026
"Piso en calle de Casta&#xF1;os";2561238882,51659;https://www.pisos.com/comprar/piso-casco_antiguo_santa_cruz03001-2561238882_516593/;38,3444401;-0,4850511;Alicante Alacant;Alicante;185.000 €;70 m²;65 m²;;2;1.0;Entre 30 y 50 años;En buen estado;000191;;;Gres;Aluminio;;;;;;TRUE;;;Este;;;;True;;;;Entre 40 y 60 €;;Frío y calor;Central;;TRUE;;;TRUE;True;;;TRUE;1ª;TRUE;;TRUE;TRUE;;21/10/2025
"Finca r&#xFA;stica en Pasaje Devesa";2571975360,2291;https://www.pisos.com/comprar/finca_rustica-ibi_centro_urbano-2571975360_229100/;38,624996279;-0,571202236;Ibi;Alicante;107.000 €;90 m²;90 m²;11.000 m²;2;1.0;;A reformar;2285;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24/02/2026
Chalet en Mascarat;2594153683,1093;https://www.pisos.com/comprar/chalet-mascarat03599-2594153683_109300/;38,6294851;-0,0119038;Altea;Alicante;2.650.000 €;400 m²;;1.000 m²;4;5.0;Menos de 5 años;;VAT0025;;;;;TRUE;TRUE;;TRUE;TRUE;;TRUE;TRUE;Este;;;;;;;∞;;;Duct based;Radiating floor;TRUE;;;;;;;;;;;;;;;08/02/2026
"&#xC1;tico en Avinguda de Fernando P&#xE9;rez Ojeda";3348048795,1005;https://www.pisos.com/comprar/atico-centre_port_platja_llevant-3348048795_100500/;38,190586066;-0,557163499;Santa Pola;Alicante;627.000 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Desconocida
"Piso en Avinguda de Fernando P&#xE9;rez Ojeda";3348132238,1005;https://www.pisos.com/comprar/piso-centre_port_platja_llevant-3348132238_100500/;38,190639963;-0,557392264;Santa Pola;Alicante;391.000 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Desconocida
"Piso en Avinguda de Fernando P&#xE9;rez Ojeda";3384834998,1005;https://www.pisos.com/comprar/piso-centre_port_platja_llevant-3384834998_100500/;38,190639963;-0,557392264;Santa Pola;Alicante;399.000 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Desconocida
Chalet en calle Manuel de Falla;3389013664,1005;https://www.pisos.com/comprar/chalet-daya_nueva_centro_urbano-3389013664_100500/;38,1135932;-0,7543356;Daya Nueva;Alicante;299.000 €;98 m²;;169 m²;3;2.0;;A estrenar;1023;1;;Terrazo;;;Cocina americana;;;;;TRUE;Privado;Noreste;;;;;;1;Propia;;;;;;;;;;;;;;;;;;;;24/02/2026
Chalet en Cotelles;3400557750,1085;https://www.pisos.com/comprar/chalet-cotelles-3400557750_108500/;38,621279435;-0,145222215;Polop;Alicante;472.000 €;117 m²;103 m²;;3;2.0;;;00503A;;;;;;Americana;;;;;No acristalada;;Sur;;;;;;;;;;;;;;;;;;;;;;;;;;;24/02/2026
Chalet en Campoamor;3403212868,1067;https://www.pisos.com/comprar/chalet-dehesa_de_campoamor_aguamarina03189-3403212868_106700/;37,90010774;-0,75691258;Orihuela;Alicante;1.175.000 €;194 m²;;500 m²;3;4.0;;;N00076;;;;;;;;;TRUE;;;TRUE;;;;;;;;TRUE;;;TRUE;;;;TRUE;;;;;;;;;;;;;23/02/2026
Chalet en Altea La Vella;3410687422,1067;https://www.pisos.com/comprar/chalet-altea_altea_la_vella03599-3410687422_106700/;38,6429213;-0,0333708;Altea;Alicante;2.146.000 €;353 m²;;;3;5.0;;;N00035;;;;;;;;;;;TRUE;;;;;;;;1;TRUE;;;;;;;;;;;;;;;;;;;;24/02/2026
Apartamento en Algorfa;3431828277,1067;https://www.pisos.com/comprar/apartamento-algorfa_centro_urbano-3431828277_106700/;38,068424768;-0,783528207;Algorfa;Alicante;120.000 €;137 m²;111 m²;;3;2.0;;En buen estado;07085;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;;;;;;;24/02/2026
Apartamento en calle Playa El Torres,  S/N;3470926433,1097;https://www.pisos.com/comprar/apartamento-cala_de_villajoyosa-3470926433_109700/;38,525458458;-0,17007815;La Vila Joiosa Villajoyosa;Alicante;505.000 €;120 m²;;;3;2.0;;A estrenar;21824302;;;;;;;;;;;TRUE;;;;;;;;;;;;;;;;;;;;;;TRUE;5ª;;;;;;Desconocida_Revisada
"&#xC1;tico en calle Playa El Torres,  S/N";3487862956,1097;https://www.pisos.com/comprar/atico-cala_de_villajoyosa-3487862956_109700/;38,5270572;-0,1949079;La Vila Joiosa Villajoyosa;Alicante;920.000 €;221 m²;;;3;2.0;;A estrenar;20030354;;;;;;;;;;;TRUE;;;;;;;;;;;;;;;;;;;;;;TRUE;6ª;;;;;;Desconocida_Revisada
Apartamento en calle Neptuno,  S/N;4002014053,1097;https://www.pisos.com/comprar/apartamento-les_deveses_monte_pego-4002014053_109700/;38,8425894;-0,0368749;"D&#xE9;nia";Alicante;254.000 €;100 m²;;;2;2.0;;A estrenar;20645923;;;;;;;;;;;TRUE;;;;;;;;TRUE;;;;;;;;;;;;;;;1ª;;;;;;17/11/2025
Apartamento en calle Provisional;4008435571,1097;https://www.pisos.com/comprar/apartamento-la_siesta_el_salado_torreta_el_chaparral03184-4008435571_109700/;38,0018178;-0,6770599;Torrevieja;Alicante;268.000 €;126 m²;;;1;1.0;;A estrenar;22673894;;;;;;;;;;;TRUE;;;;;;;;TRUE;;;;;;TRUE;;;;;;;;TRUE;3ª;;;;;;17/12/2025
"&#xC1;tico en calle Neptuno,  S/N";4034363051,1097;https://www.pisos.com/comprar/atico-les_deveses_monte_pego-4034363051_109700/;38,869833;-0,0108604;"D&#xE9;nia";Alicante;475.000 €;153 m²;;;3;2.0;;A estrenar;20645985;;;;;;;;;;;TRUE;;;;;;;;TRUE;;;;;;;;;;;;;;;4ª;;;;;;17/11/2025
Casa adosada en calle Neptuno,  S/N;4053124003,1097;https://www.pisos.com/comprar/casa_adosada-les_deveses_monte_pego-4053124003_109700/;38,8820001;-0,0329213;"D&#xE9;nia";Alicante;397.000 €;160 m²;;;3;3.0;;A estrenar;20645995;;;;;;;;;;;TRUE;;;;;;;Adosada;TRUE;;;;;;;;;;;;;;;;;;;;;17/11/2025
"&#xC1;tico en calle Deportista Pitu Perramon,  S/N";4054917639,1097;https://www.pisos.com/comprar/atico-san_blas_castillo_de_san_fernando_pau03005-4054917639_109700/;38,3561;-0,503727;Alicante Alacant;Alicante;391.000 €;105 m²;;;3;2.0;;A estrenar;a0P1v000014Dpe3EAC;2;;;;;TRUE;;;TRUE;;TRUE;;;;;;;;TRUE;;;;;Gas natural;TRUE;;;;;;;;TRUE;4ª;;;;;;17/11/2025
Chalet en Benissa Pueblo;4179954500,51654;https://www.pisos.com/comprar/chalet-benissa_pueblo-4179954500_516543/;38,715941337;0,050082128;Benissa;Alicante;1.765.000 €;800 m²;800 m²;13.500 m²;3;5.0;;En buen estado;002712;Más de 2;;;;TRUE;;;;TRUE;;TRUE;Privado;Sur;TRUE;TRUE;TRUE;True;;Más de 2;Propia;;;Frío y calor;Eléctrica;;TRUE;TRUE;;;;;;;;;;;;;Desconocida_Revisada
Chalet en Cotelles;4220047935,1085;https://www.pisos.com/comprar/chalet-cotelles-4220047935_108500/;38,6187677;-0,1467371;Polop;Alicante;625.000 €;128 m²;;;3;2.0;;;00504A;TRUE;;;;;Americana;;;TRUE;;No acristalada;;Norte;;;;;;;;;;TRUE;;;;TRUE;;;;;;;;;;;;;24/02/2026
